city,year,mention_count
Lappeenranta,1989,4
Lappeenranta,1990,15
Lappeenranta,1991,3
Lappeenranta,1992,1
Lappeenranta,1993,5
Lappeenranta,1994,7
Lappeenranta,1995,4
Lapua,1986,4
Lapua,1987,2
Lapua,1988,2
Lapua,1989,6
Lapua,1990,2
Lapua,1993,2
Lapua,1994,2
Lapua,1995,5
Lieksa,1986,4
Lieksa,1987,5
Lieksa,1988,6
Lieksa,1989,4
Lieksa,1990,6
Lieksa,1991,7
Lieksa,1992,2
Lieksa,1993,7
Lieksa,1994,8
Lieksa,1995,3
Lohja,1986,5
Lohja,1987,5
Lohja,1988,14
Lohja,1989,8
Lohja,1990,11
Lohja,1991,55
Lohja,1992,5
Lohja,1993,8
Lohja,1994,3
Lohja,1995,7
Loimaa,1986,2
Loimaa,1987,1
Loimaa,1988,6
Loimaa,1989,1
Loimaa,1990,4
Loimaa,1991,2
Loimaa,1992,1
Loimaa,1993,6
Loimaa,1994,1
Loimaa,1995,2
Loviisa,1986,30
Loviisa,1987,14
Loviisa,1988,8
Loviisa,1989,13
Loviisa,1990,16
Loviisa,1991,4
Loviisa,1992,28
Loviisa,1993,40
Loviisa,1994,10
Loviisa,1995,3
Maarianhamina,1988,2
Maarianhamina,1989,5
Maarianhamina,1990,5
Maarianhamina,1991,6
Maarianhamina,1992,5
Maarianhamina,1993,5
Maarianhamina,1994,2
Maarianhamina,1995,1
Mikkeli,1986,17
Mikkeli,1987,24
Mikkeli,1988,21
Mikkeli,1989,28
Mikkeli,1990,20
Mikkeli,1991,5
Mikkeli,1992,10
Mikkeli,1993,21
Mikkeli,1994,9
Mikkeli,1995,16
Naantali,1986,7
Naantali,1987,5
Naantali,1988,4
Naantali,1989,2
Naantali,1991,4
Naantali,1992,2
Naantali,1993,2
Naantali,1994,5
Nivala,1987,1
Nivala,1989,1
Nivala,1992,2
Nivala,1993,1
Nokia,1986,30
Nokia,1987,16
Nokia,1988,14
Nokia,1989,5
Nokia,1990,6
Nokia,1991,11
Nokia,1992,10
Nokia,1993,19
Nokia,1994,19
Nokia,1995,30
Nurmes,1986,2
Nurmes,1987,4
Nurmes,1988,5
Nurmes,1989,3
Nurmes,1990,2
Nurmes,1992,2
Nurmes,1993,1
Nurmes,1994,6
Nurmes,1995,4
Närpiö,1986,1
Närpiö,1987,4
Närpiö,1988,1
Närpiö,1992,1
Orimattila,1986,5
Orimattila,1987,1
Orimattila,1988,2
Orimattila,1989,1
Orimattila,1990,1
Orimattila,1991,1
Orimattila,1992,1
Orivesi,1986,1
Orivesi,1987,3
Orivesi,1988,2
Orivesi,1990,2
Orivesi,1992,2
Orivesi,1993,4
Orivesi,1994,3
Orivesi,1995,1
Oulainen,1986,3
Oulainen,1987,2
Oulainen,1988,1
Oulainen,1989,1
Oulu,1986,115
Oulu,1987,149
Oulu,1988,112
Oulu,1989,131
Oulu,1990,83
Oulu,1991,36
Oulu,1992,47
Oulu,1993,102
Oulu,1994,75
Oulu,1995,74
Outokumpu,1986,27
Outokumpu,1987,14
Outokumpu,1988,26
Outokumpu,1989,59
Outokumpu,1990,19
Outokumpu,1991,31
Outokumpu,1992,8
Outokumpu,1993,29
Outokumpu,1994,17
Outokumpu,1995,5
Paimio,1986,7
Paimio,1988,1
Paimio,1990,1
Paimio,1991,1
Paimio,1992,1
Paimio,1993,1
Paimio,1994,1
Paimio,1995,1
Parainen,1986,5
Parainen,1987,1
Parainen,1990,1
Parainen,1991,1
Parainen,1993,2
Parkano,1986,10
Parkano,1987,9
Parkano,1988,8
Parkano,1989,1
Parkano,1990,5
Parkano,1991,1
Parkano,1992,5
Parkano,1993,4
Parkano,1994,2
Parkano,1995,1
Pieksämäki,1986,22
Pieksämäki,1987,13
Pieksämäki,1988,3
Pieksämäki,1989,12
Pieksämäki,1990,2
Pieksämäki,1992,2
Pieksämäki,1993,5
Pieksämäki,1994,6
Pieksämäki,1995,4
Pietarsaari,1986,4
Pietarsaari,1987,4
Pietarsaari,1988,1
Pietarsaari,1989,1
Pietarsaari,1991,2
Pietarsaari,1993,2
Pori,1986,49
Pori,1987,43
Pori,1988,54
Pori,1989,59
Pori,1990,35
Pori,1991,10
Pori,1992,15
Pori,1993,30
Pori,1994,11
Pori,1995,20
Porvoo,1986,7
Porvoo,1987,5
Porvoo,1988,7
Porvoo,1989,7
Porvoo,1990,12
Porvoo,1991,2
Porvoo,1992,4
Porvoo,1993,21
Porvoo,1994,4
Porvoo,1995,6
Pudasjärvi,1986,103
Pudasjärvi,1987,48
Pudasjärvi,1988,15
Pudasjärvi,1989,15
Pudasjärvi,1990,6
Pudasjärvi,1991,8
Pudasjärvi,1992,57
Pudasjärvi,1993,36
Pudasjärvi,1994,16
Pudasjärvi,1995,1
Pyhäjärvi,1986,2
Pyhäjärvi,1987,4
Pyhäjärvi,1988,6
Pyhäjärvi,1989,5
Pyhäjärvi,1990,8
Pyhäjärvi,1992,2
Pyhäjärvi,1993,2
Pyhäjärvi,1995,1
Raahe,1986,22
Raahe,1987,7
Raahe,1988,15
Raahe,1989,6
Raahe,1990,1
Raahe,1991,3
Raahe,1992,6
Raahe,1993,3
Raahe,1994,6
Raahe,1995,3
Raisio,1986,1
Raisio,1987,2
Raisio,1989,3
Raisio,1991,6
Raisio,1992,2
Raisio,1993,4
Raisio,1994,11
Rauma,1986,19
Rauma,1987,21
Rauma,1988,17
Rauma,1989,20
Rauma,1990,22
Rauma,1991,7
Rauma,1992,9
Rauma,1993,58
Rauma,1994,13
Rauma,1995,7
Riihimäki,1986,5
Riihimäki,1987,10
Riihimäki,1988,9
Riihimäki,1989,9
Riihimäki,1990,6
Riihimäki,1991,2
Riihimäki,1992,4
Riihimäki,1993,6
Riihimäki,1994,5
Riihimäki,1995,1
Rovaniemi,1986,32
Rovaniemi,1987,25
Rovaniemi,1988,30
Rovaniemi,1989,44
Rovaniemi,1990,33
Rovaniemi,1991,19
Rovaniemi,1992,15
Rovaniemi,1993,18
Rovaniemi,1994,12
Rovaniemi,1995,18
Saarijärvi,1986,3
Saarijärvi,1987,4
Saarijärvi,1988,1
Saarijärvi,1990,1
Saarijärvi,1992,1
Saarijärvi,1995,1
Salo,1986,5
Salo,1987,3
Salo,1988,3
Salo,1990,4
Salo,1991,3
Salo,1992,2
Salo,1993,4
Salo,1994,4
Salo,1995,3
Savonlinna,1986,7
Savonlinna,1987,13
Savonlinna,1988,6
Savonlinna,1989,11
Savonlinna,1990,4
Savonlinna,1991,1
Savonlinna,1992,1
Savonlinna,1993,7
Savonlinna,1994,1
Savonlinna,1995,5
Seinäjoki,1986,19
Seinäjoki,1987,9
Seinäjoki,1988,15
Seinäjoki,1989,7
Seinäjoki,1990,13
Seinäjoki,1991,9
Seinäjoki,1992,3
Seinäjoki,1993,10
Seinäjoki,1994,2
Seinäjoki,1995,4
Somero,1986,3
Somero,1987,3
Somero,1988,4
Somero,1989,5
Somero,1994,1
Somero,1995,1
Suonenjoki,1987,1
Suonenjoki,1988,2
Suonenjoki,1989,1
Suonenjoki,1991,1
Suonenjoki,1993,2
Suonenjoki,1994,2
Suonenjoki,1995,3
Tampere,1986,130
Tampere,1987,159
Tampere,1988,140
