"Kunta","Vuosi","Kuntien tunnusluvut"
"Haapavesi",1987,7776
"Haapavesi",1988,7834
"Haapavesi",1989,7958
"Haapavesi",1990,8100
"Haapavesi",1991,8193
"Haapavesi",1992,8292
"Haapavesi",1993,8354
"Haapavesi",1994,8366
"Haapavesi",1995,8349
"Haapavesi",2004,7753
"Haapavesi",2005,7680
"Haapavesi",2006,7529
"Haapavesi",2007,7515
"Haapavesi",2008,7493
"Haapavesi",2009,7396
"Haapavesi",2010,7418
"Haapavesi",2011,7384
"Haapavesi",2012,7283
"Haapavesi",2013,7241
"Hailuoto",1986,907
"Hailuoto",1987,907
"Hailuoto",1988,925
"Hailuoto",1989,953
"Hailuoto",1990,946
"Hailuoto",1991,935
"Hailuoto",1992,946
"Hailuoto",1993,983
"Hailuoto",1994,970
"Hailuoto",1995,955
"Hailuoto",2004,986
"Hailuoto",2005,964
"Hailuoto",2006,998
"Hailuoto",2007,987
"Hailuoto",2008,1028
"Hailuoto",2009,1019
"Hailuoto",2010,1004
"Hailuoto",2011,1004
"Hailuoto",2012,986
"Hailuoto",2013,999
"Halikko",1986,8167
"Halikko",1987,8236
"Halikko",1988,8312
"Halikko",1989,8375
"Halikko",1990,8497
"Halikko",1991,8528
"Halikko",1992,8520
"Halikko",1993,8477
"Halikko",1994,8540
"Halikko",1995,8663
"Halikko",2004,9491
"Halikko",2005,9593
"Halikko",2006,9633
"Halikko",2007,9772
"Halikko",2008,9784
"Halikko",2009,0
"Halikko",2010,0
"Halikko",2011,0
"Halikko",2012,0
"Halikko",2013,0
"Halsua",1986,1681
"Halsua",1987,1664
"Halsua",1988,1679
"Halsua",1989,1685
"Halsua",1990,1672
"Halsua",1991,1664
"Halsua",1992,1644
"Halsua",1993,1658
"Halsua",1994,1643
"Halsua",1995,1629
"Halsua",2004,1456
"Halsua",2005,1441
"Halsua",2006,1405
"Halsua",2007,1379
"Halsua",2008,1351
"Halsua",2009,1323
"Halsua",2010,1289
"Halsua",2011,1275
"Halsua",2012,1248
"Halsua",2013,1229
"Hämeenkoski",1986,2272
"Hämeenkoski",1987,2256
"Hämeenkoski",1988,2222
"Hämeenkoski",1989,2256
"Hämeenkoski",1990,2293
"Hämeenkoski",1991,2314
"Hämeenkoski",1992,2352
"Hämeenkoski",1993,2375
"Hämeenkoski",1994,2359
"Hämeenkoski",1995,2336
"Hämeenkoski",2004,2200
"Hämeenkoski",2005,2191
"Hämeenkoski",2006,2149
"Hämeenkoski",2007,2139
"Hämeenkoski",2008,2136
"Hämeenkoski",2009,2126
"Hämeenkoski",2010,2144
"Hämeenkoski",2011,2130
"Hämeenkoski",2012,2096
"Hämeenkoski",2013,2086
"Hämeenkyrö",1986,9110
"Hämeenkyrö",1987,9166
"Hämeenkyrö",1988,9234
"Hämeenkyrö",1989,9357
"Hämeenkyrö",1990,9417
"Hämeenkyrö",1991,9512
"Hämeenkyrö",1992,9504
"Hämeenkyrö",1993,9677
"Hämeenkyrö",1994,9676
"Hämeenkyrö",1995,9736
"Hämeenkyrö",2004,10089
"Hämeenkyrö",2005,10186
"Hämeenkyrö",2006,10238
"Hämeenkyrö",2007,10276
"Hämeenkyrö",2008,10327
"Hämeenkyrö",2009,10436
"Hämeenkyrö",2010,10489
"Hämeenkyrö",2011,10533
"Hämeenkyrö",2012,10500
"Hämeenkyrö",2013,10582
"Hämeenlinna",1986,42384
"Hämeenlinna",1987,42333
"Hämeenlinna",1988,42473
"Hämeenlinna",1989,42765
"Hämeenlinna",1990,43108
"Hämeenlinna",1991,43415
"Hämeenlinna",1992,43781
"Hämeenlinna",1993,44176
"Hämeenlinna",1994,44564
"Hämeenlinna",1995,44891
"Hämeenlinna",2004,47178
"Hämeenlinna",2005,47335
"Hämeenlinna",2006,47904
"Hämeenlinna",2007,48414
"Hämeenlinna",2008,49057
"Hämeenlinna",2009,66616
"Hämeenlinna",2010,66829
"Hämeenlinna",2011,67270
"Hämeenlinna",2012,67497
"Hämeenlinna",2013,67806
"Hamina",1986,10315
"Hamina",1987,10231
"Hamina",1988,10228
"Hamina",1989,10164
"Hamina",1990,10124
"Hamina",1991,10100
"Hamina",1992,10103
"Hamina",1993,10141
"Hamina",1994,10147
"Hamina",1995,10035
"Hamina",2004,21887
"Hamina",2005,21957
"Hamina",2006,21826
"Hamina",2007,21737
"Hamina",2008,21570
"Hamina",2009,21483
"Hamina",2010,21400
"Hamina",2011,21403
"Hamina",2012,21256
"Hamina",2013,21203
"Hammarland",1986,1208
"Hammarland",1987,1207
"Hammarland",1988,1198
"Hammarland",1989,1214
"Hammarland",1990,1213
"Hammarland",1991,1232
"Hammarland",1992,1259
"Hammarland",1993,1300
"Hammarland",1994,1299
"Hammarland",1995,1283
"Hammarland",2004,1387
"Hammarland",2005,1384
"Hammarland",2006,1423
"Hammarland",2007,1409
"Hammarland",2008,1440
"Hammarland",2009,1463
"Hammarland",2010,1508
"Hammarland",2011,1526
"Hammarland",2012,1522
"Hammarland",2013,1540
"Hankasalmi",1986,6100
"Hankasalmi",1987,6131
"Hankasalmi",1988,6096
"Hankasalmi",1989,6105
"Hankasalmi",1990,6118
"Hankasalmi",1991,6064
"Hankasalmi",1992,6089
"Hankasalmi",1993,6032
"Hankasalmi",1994,6050
"Hankasalmi",1995,5991
"Hankasalmi",2004,5600
"Hankasalmi",2005,5588
"Hankasalmi",2006,5556
"Hankasalmi",2007,5506
"Hankasalmi",2008,5526
"Hankasalmi",2009,5514
"Hankasalmi",2010,5542
"Hankasalmi",2011,5491
"Hankasalmi",2012,5453
"Hankasalmi",2013,5404
"Hanko",1986,12065
"Hanko",1987,11924
"Hanko",1988,11726
"Hanko",1989,11579
"Hanko",1990,11502
"Hanko",1991,11460
"Hanko",1992,11368
"Hanko",1993,11150
"Hanko",1994,11008
"Hanko",1995,10825
"Hanko",2004,9905
"Hanko",2005,9827
"Hanko",2006,9725
"Hanko",2007,9708
"Hanko",2008,9657
"Hanko",2009,9597
"Hanko",2010,9462
"Hanko",2011,9417
"Hanko",2012,9267
"Hanko",2013,9109
"Harjavalta",1986,8960
"Harjavalta",1987,8929
"Harjavalta",1988,8926
"Harjavalta",1989,8909
"Harjavalta",1990,8743
"Harjavalta",1991,8681
"Harjavalta",1992,8626
"Harjavalta",1993,8532
"Harjavalta",1994,8432
"Harjavalta",1995,8374
"Harjavalta",2004,7745
"Harjavalta",2005,7673
"Harjavalta",2006,7700
"Harjavalta",2007,7646
"Harjavalta",2008,7580
"Harjavalta",2009,7548
"Harjavalta",2010,7540
"Harjavalta",2011,7504
"Harjavalta",2012,7486
"Harjavalta",2013,7407
"Hartola",1986,4344
"Hartola",1987,4301
"Hartola",1988,4287
"Hartola",1989,4272
"Hartola",1990,4318
"Hartola",1991,4354
"Hartola",1992,4270
"Hartola",1993,4208
"Hartola",1994,4177
"Hartola",1995,4129
"Hartola",2004,3692
"Hartola",2005,3671
"Hartola",2006,3572
"Hartola",2007,3572
"Hartola",2008,3466
"Hartola",2009,3388
"Hartola",2010,3355
"Hartola",2011,3292
"Hartola",2012,3205
"Hartola",2013,3098
"Hattula",1986,7996
"Hattula",1987,8145
"Hattula",1988,8272
"Hattula",1989,8449
"Hattula",1990,8645
"Hattula",1991,8729
"Hattula",1992,8830
"Hattula",1993,9139
"Hattula",1994,9134
"Hattula",1995,9108
"Hattula",2004,9281
"Hattula",2005,9332
"Hattula",2006,9445
"Hattula",2007,9444
"Hattula",2008,9596
"Hattula",2009,9625
"Hattula",2010,9657
"Hattula",2011,9682
"Hattula",2012,9720
"Hattula",2013,9684
"Hauho",1986,4063
"Hauho",1987,4066
"Hauho",1988,4095
"Hauho",1989,4131
"Hauho",1990,4184
"Hauho",1991,4161
"Hauho",1992,4214
"Hauho",1993,4092
"Hauho",1994,4062
"Hauho",1995,4008
"Hauho",2004,3920
"Hauho",2005,3947
"Hauho",2006,3971
"Hauho",2007,3970
"Hauho",2008,3929
"Hauho",2009,0
"Hauho",2010,0
"Hauho",2011,0
"Hauho",2012,0
"Hauho",2013,0
"Haukipudas",1986,12941
"Haukipudas",1987,13105
"Haukipudas",1988,13225
"Haukipudas",1989,13390
"Haukipudas",1990,13523
"Haukipudas",1991,13762
"Haukipudas",1992,13972
"Haukipudas",1993,14519
"Haukipudas",1994,14652
"Haukipudas",1995,14896
"Haukipudas",2004,17090
"Haukipudas",2005,17409
"Haukipudas",2006,17810
"Haukipudas",2007,18113
"Haukipudas",2008,18371
"Haukipudas",2009,18654
"Haukipudas",2010,18872
"Haukipudas",2011,18994
"Haukipudas",2012,19044
"Haukipudas",2013,0
"Haukivuori",1986,2862
"Haukivuori",1987,2822
"Haukivuori",1988,2786
"Haukivuori",1989,2751
"Haukivuori",1990,2750
"Haukivuori",1991,2721
"Haukivuori",1992,2704
"Haukivuori",1993,2728
"Haukivuori",1994,2719
"Haukivuori",1995,2694
"Haukivuori",2004,2295
"Haukivuori",2005,2292
"Haukivuori",2006,2268
"Haukivuori",2007,0
"Haukivuori",2008,0
"Haukivuori",2009,0
"Haukivuori",2010,0
"Haukivuori",2011,0
"Haukivuori",2012,0
"Haukivuori",2013,0
"Hausjärvi",1986,7436
"Hausjärvi",1987,7483
"Hausjärvi",1988,7535
"Hausjärvi",1989,7668
"Hausjärvi",1990,7788
"Hausjärvi",1991,7943
"Hausjärvi",1992,8044
"Hausjärvi",1993,8102
"Hausjärvi",1994,8129
"Hausjärvi",1995,8143
"Hausjärvi",2004,8343
"Hausjärvi",2005,8419
"Hausjärvi",2006,8536
"Hausjärvi",2007,8574
"Hausjärvi",2008,8647
"Hausjärvi",2009,8665
"Hausjärvi",2010,8815
"Hausjärvi",2011,8807
"Hausjärvi",2012,8866
"Hausjärvi",2013,8808
"Heinävesi",1986,5610
"Heinävesi",1987,5542
"Heinävesi",1988,5499
"Heinävesi",1989,5449
"Heinävesi",1990,5365
"Heinävesi",1991,5361
"Heinävesi",1992,5258
"Heinävesi",1993,5217
"Heinävesi",1994,5121
"Heinävesi",1995,5065
"Heinävesi",2004,4403
"Heinävesi",2005,4311
"Heinävesi",2006,4239
"Heinävesi",2007,4152
"Heinävesi",2008,4065
"Heinävesi",2009,3975
"Heinävesi",2010,3912
"Heinävesi",2011,3827
"Heinävesi",2012,3742
"Heinävesi",2013,3667
"Heinola",1986,0
"Heinola",1987,0
"Heinola",1988,0
"Heinola",1989,0
"Heinola",1990,0
"Heinola",1991,0
"Heinola",1992,0
"Heinola",1993,0
"Heinola",1994,0
"Heinola",1995,0
"Heinola",2004,20910
"Heinola",2005,20729
"Heinola",2006,20604
"Heinola",2007,20612
